,Mean,Lower 95% CrI,Upper 95% CrI
B.1.1.7,130,43,500
Other Alpha,0.94,0.051,14
Other Beta,0.9,0.046,12
AY.12,1.0,0.051,18
AY.14,0.99,0.053,19
AY.20,1.0,0.05,20
AY.24,1.0,0.052,20
AY.25,0.99,0.05,19
AY.3,1.0,0.051,21
AY.4,0.99,0.047,20
B.1.617.2,0.98,0.05,17
Other Delta,0.99,0.051,18
Other Epsilon,0.81,0.043,8.0
B.1.525,39,1.9,480
Other Gamma,0.91,0.049,13
P.1,0.83,0.045,8.3
P.1.2,0.94,0.05,15
B.1.526,0.4,0.02,2.3
Other Kappa,0.99,0.05,19
B.1.621,0.93,0.047,14
Other Mu,0.99,0.052,19
B.1,0.73,0.041,6.1
B.1.1,0.72,0.038,6.3
B.1.1.434,2.8,0.35,35
B.1.1.519,0.68,0.037,5.1
B.1.2,0.92,0.15,4.3
B.1.234,0.72,0.038,6.1
B.1.243,0.47,0.024,3.0
B.1.311,0.7,0.04,5.4
B.1.575,0.61,0.032,4.1
B.1.596,0.72,0.04,5.9
B.1.637,0.65,0.037,4.6
R.1,0.63,0.036,4.5
Other,2.5,0.54,16
