VSP,Pango_Lineage,Collection_Date,Rationale,Percent_5x_Coverage,Mean_Coverage,GISAID_ID,NCBI_Accession
VSP0009,B.1,3/30/2020,hospitalized,99.7,1276,hCoV-19/USA/VSP0009/2020,MW001232
VSP0010,B.1,4/8/2020,hospitalized,95.1,306,hCoV-19/USA/VSP0010/2020,MW001233
VSP0011,B.1,4/8/2020,hospitalized,99.4,3682,hCoV-19/USA/VSP0011/2020,MW001234
VSP0012,B.1,4/8/2020,hospitalized,99.7,2208,hCoV-19/USA/VSP0012/2020,MW001235
VSP0013,B.1,4/13/2020,hospitalized,99.7,2249,hCoV-19/USA/VSP0013/2020,MW001236
VSP0014,B.1.564,4/15/2020,hospitalized,99.6,900,hCoV-19/USA/VSP0014/2020,MW001240
VSP0020,B.1.520,4/22/2020,hospitalized,99.7,3499,hCoV-19/USA/VSP0020/2020,MW001245
VSP0021,B.1,4/22/2020,hospitalized,99.7,6690,hCoV-19/USA/VSP0021/2020,MW001246
VSP0022,B.1,4/22/2020,hospitalized,98.9,499,hCoV-19/USA/VSP0022/2020,MW001248
VSP0039,B.1.564,4/29/2020,hospitalized,99.7,5425,hCoV-19/USA/VSP0039/2020,MW001254
VSP0041,B.1.369,4/29/2020,hospitalized,99.7,7099,hCoV-19/USA/VSP0041/2020,MW001255
VSP0042,B.1.369,4/29/2020,hospitalized,64.5,3803,hCoV-19/USA/VSP0042/2020,MW001256
VSP0044,B.1,4/29/2020,hospitalized,99.7,3408,hCoV-19/USA/VSP0044/2020,MW001259
VSP0045,B.1,4/29/2020,hospitalized,99.1,3866,hCoV-19/USA/VSP0045/2020,MW001261
VSP0046,B.1,5/1/2020,hospitalized,99.7,3686,hCoV-19/USA/VSP0046/2020,MW001257
VSP0047,B.1,5/1/2020,hospitalized,99.7,4438,hCoV-19/USA/VSP0047/2020,MW001260
VSP0050,B.1,5/1/2020,hospitalized,96.6,3443,hCoV-19/USA/VSP0050/2020,MW001262
VSP0052,B.1,5/4/2020,hospitalized,99.6,4519,hCoV-19/USA/VSP0052/2020,MW001258
VSP0065,B.1.439,5/4/2020,hospitalized,99.7,5980,hCoV-19/USA/VSP0065/2020,MW001264
VSP0080,B.1.520,4/24/2020,hospitalized,99.7,5775,hCoV-19/USA/VSP0080/2020,MW001250
VSP0088,B.1.439,5/6/2020,hospitalized,99.7,3435,hCoV-19/USA/VSP0088/2020,MW001263
VSP0089,B.1.439,5/6/2020,hospitalized,99.6,5869,hCoV-19/USA/VSP0089/2020,MW001265
VSP0100,B.1.520,5/8/2020,hospitalized,99.6,3781,hCoV-19/USA/VSP0100/2020,MW001266
VSP0102,B.1,5/8/2020,hospitalized,99.7,6335,hCoV-19/USA/VSP0102/2020,MW001269
VSP0107,B.1.520,5/8/2020,hospitalized,99.7,8815,hCoV-19/USA/VSP0107/2020,MW001268
VSP0123,B.1.520,5/11/2020,hospitalized,99.7,4433,hCoV-19/USA/VSP0123/2020,MW001267
VSP0140,B.1.564,5/15/2020,hospitalized,96,77,hCoV-19/USA/VSP0140/2020,MW001270
VSP0141,B.1.564,5/15/2020,hospitalized,99.7,1278,hCoV-19/USA/VSP0141/2020,MW001271
VSP0142,B.1,5/15/2020,hospitalized,99.6,1369,hCoV-19/USA/VSP0142/2020,MW001272
VSP0143,B.1,5/15/2020,hospitalized,99.7,5818,hCoV-19/USA/VSP0143/2020,MW001273
VSP0155,B.1,5/20/2020,hospitalized,98.5,624,hCoV-19/USA/VSP0155/2020,MW001274
VSP0163,B.1,5/22/2020,hospitalized,99.7,8029,hCoV-19/USA/VSP0163/2020,MW001275
VSP0166,B.1.564,5/22/2020,hospitalized,99.5,1908,hCoV-19/USA/VSP0166/2020,MW001280
VSP0176,B.1.564,5/27/2020,hospitalized,99.7,1921,hCoV-19/USA/VSP0176/2020,MW001278
VSP0179,B.1,5/27/2020,hospitalized,99.7,4022,hCoV-19/USA/VSP0179/2020,MW001282
VSP0180,B.1,4/17/2020,hospitalized,99.7,1671,hCoV-19/USA/VSP0180/2020,MW001241
VSP0181,B.1,4/17/2020,hospitalized,99.7,4741,hCoV-19/USA/VSP0181/2020,MW001242
VSP0182,B.1,4/20/2020,hospitalized,99.7,2751,hCoV-19/USA/VSP0182/2020,MW001243
VSP0183,B.1,4/17/2020,hospitalized,99.8,2270,hCoV-19/USA/VSP0183/2020,MW001244
